구분,유저,챗봇
감정/의욕상실,의욕도 안 나고… 세상이 싫고… 그냥 사춘기인 줄 알았거든요.,마음이 잠깐 지쳤나 봐요. 아무 의미 없는 일은 없을 거예요. 
감정/의욕상실,이거 다니는 게 소용이 있나 싶어요. ,주말에 가까운 곳으로 여행가는 건 어때요? 활력이 생길 거예요.
감정/의욕상실,항상 시계추처럼 똑딱똑딱… 똑같은 일만 반복하는데 이게 무슨 의미가 있을까. ,주말에 여행을 떠나보는 건 어때요?
감정/의욕상실,정말 즐거운 일이 없어요.,마음이 잠깐 지쳤나봐요. 아무 의미 없는 일은 없을 거예요.
감정/의욕상실,요즘 부쩍 삶의 의욕이 떨어지는 것 같아.,마음이 잠깐 지쳤나봐요. 아무 의미 없는 일은 없을 거예요.
감정/의욕상실,그런데 어느 순간 지긋지긋하더라고요. ,주말에 여행 가는건 어때요? 생각이 정리될 거예요.
감정/의욕상실,그냥 재미가 없네요. 왜 사는 건지 딱히 이유를 찾을 수가 없어요.,가끔 길을 잃을 때가 있죠. 그럴 땐 천천히 쉬어가는 것도 좋은 방법 같아요.
감정/의욕상실,요즘 일하기도 싫고 살 맛 안 나.,아주 작은 일부터 해보는 거예요. 비타민 챙겨먹기부터 해보면 어때요?
감정/의욕상실,그래서 요즘 출근하기도 싫고 의욕도 안 생기고 그렇네요.,아주 작은 일부터 해보는 거예요. 비타민 챙겨먹기부터 해보면 어때요?
감정/의욕상실,이러니까 좀처럼 제대로 일할 수가 없고 그러니까 의욕이 없어.,아주 작은 일부터 해보는 거예요. 비타민 챙겨먹기부터 해보면 어때요?
감정/의욕상실,누가 나를 좀 대신해줬음 좋겠다…,아주 작은 일부터 해보는 건 어때요?
감정/의욕상실,"친구들은 토익을 딴다고 하고, 여행도 가고, 남자친구도 사귀는데… 저는 아무것도 하고 싶지 않은 거예요.",아주 작은 일부터 해보는 거예요. 비타민 챙겨먹기부터 해보면 어때요?
감정/의욕상실,의욕이 하나도 안 생겨요.,마음이 잠깐 지쳤나봐요. 여행을 가보는 건 어때요? 활력이 생길 거예요.
감정/의욕상실,두 달 전부터 아무 이유 없이 의욕이 없어…,가끔 길을 잃을 때가 있죠. 그럴 땐 천천히 쉬어가는 것도 좋은 방법 같아요.
감정/의욕상실,다 때려치고 싶어.,주말에 가까운 곳으로 여행 가는건 어때요? 활력이 생길 거예요.
감정/의욕상실,더 이상 살면서 뭘 하고 싶은 것도 없거든요.,가끔 길을 잃을 때가 있죠. 그럴 땐 천천히 쉬어가는 것도 좋은 방법 같아요.
감정/의욕상실/무기력,"수업 들으러 가야 하는데 일어나는 것도 힘들고, 귀찮아서 많이 빼먹었어.",의욕을 많이 잃으셨군요. 가끔 그럴 때가 있죠. 너무 상심 마세요.
감정/의욕상실/무기력,집에 늘어져 있으니까 아무것도 하기 싫어요.,삶이 언제나 재미있진 않은걸요. 조금 천천히 가는 중이라고 생각해요.
감정/의욕상실/무기력,예전에는 재밌었던 게 지금은 너무 하기가 싫어.,그럴 땐 정말 슬프죠. 기운이 하나도 없다고 할까요? 
감정/의욕상실/무기력,아무 의욕도 안 생기고 그냥 무기력하고…,의욕을 많이 잃으셨군요. 가끔 그럴 때가 있죠. 너무 상심 마세요.
감정/의욕상실/무기력,그렇게 잘 하던 일도 뭔가 다 하기 싫고… 아무 의욕도 안 생겨.,삶이 언제나 재미있진 않은걸요. 조금 천천히 가는 중이라고 생각해요.
감정/자괴감,내 자신이 끔찍하게 싫어. ,조금 돌아가는 것뿐이라고 생각해요. 기운내세요.
감정/자괴감,작은 소리에도 깜짝깜짝 놀라고…내가 너무 초라해.,그냥 나쁜 상황을 만난 것뿐이에요. 너무 자책하지 마세요.
감정/자괴감,식당 아줌마로 늙어가는게 한심스럽게 느껴지고…,스스로에게 보내는 응원이 가장 강력하다는 거 아시죠? 당신은 충분히 잘 이겨내고 있어요.
감정/자괴감,경제적으로는 문제가 없는데.. 그냥 자격지심같은거예요,당신은 누구보다도 멋진 사람이에요. 제 눈에는 보여요!
감정/자괴감,나 진짜 내가 너무 싫다…,당신은 누구보다도 멋진 사람이에요. 제 눈에는 보여요!
감정/자괴감,인생을 낭비하고 있는 기분이야.,작은 성취감을 느끼는 게 그런 기분을 없애줄지도 몰라요. 오늘은 창틀을 청소해보는 게 어떨까요?
감정/자괴감,내가 너무 한심해.,당신은 누구보다도 멋진 사람이에요. 제 눈에는 보여요!
감정/자괴감,경제적으로는 문제가 없는데.. 그냥 자격지심 같은 거예요,스스로에게 보내는 응원이 가장 강력하다는 거 아시죠? 당신은 충분히 잘 이겨내고 있어요.
감정/자괴감,크게 불만 없이 살아왔는데 요즘은 제 자신이 멍청하게 느껴져요.,그냥 나쁜 상황을 만난 것뿐이에요. 너무 자책하지 마세요.
감정/자괴감,이런 내 자신이 부끄럽고 수치스러워.,당신에게는 아무 잘못이 없어요. 너무 자책하지 마세요.
감정/자괴감,언니랑 비교하는 제 자신이 너무 초라하게 느껴지네요.,스스로에게 보내는 응원이 가장 강력하다는 거 아시죠? 당신은 충분히 잘 이겨내고 있어요.
감정/자괴감,무엇보다 이렇게 망가진 제 자신이 제일 미웠어요.,그냥 나쁜 상황을 만난 것뿐이에요. 너무 자책하지 마세요.
감정/자괴감,사람들이 미운게 아니라..제 자신이 미운거예요.,당신은 누구보다도 멋진 사람이에요. 제 눈에는 보여요!
감정/자괴감,저는 왜 이렇게 못난 인간일까요…,당신은 누구보다도 멋진 사람이에요. 제 눈에는 보여요!
감정/자괴감,제가 너무 한심스러워요.,당신은 누구보다도 멋진 사람이에요. 제 눈에는 보여요!
감정/자괴감,내가 능력이 있었다면…이렇게 비참하지 않을 텐데…,상황이 나빴던 거지 당신이 죄책감을 가질 일은 아니라고 생각해요.
감정/자괴감,처음에는 이런 생각을 하는 제가 너무 싫고 미웠거든요.,그랬군요. 지금은 좀 어떠세요?
감정/자괴감,그냥 거짓말만 안 하면 되는 건데 그게 어렵나 이러면서 막 한심하고…,조금 돌아가는 것뿐이라고 생각해요. 기운내세요.
감정/자괴감,왜 이것밖에 안 될까 자책하고.,너무 자책하지 마세요.
감정/자괴감,저도 이런 제가 너무 싫은데 고칠 수가 없으니까…,그럴 수도 있지! 라고 주문을 한 번 외워보세요. 기분이 조금 나아질 거예요.
감정/자괴감,그래서 이제는 뭔가 고쳐야 할 것 같기도 해. 약간… 좀 자괴감이 들어서.,시도를 해보려는 생각 자체가 대단한거에요!
감정/자괴감,그래서 가끔 생각이 막힌 것처럼 이러니까 자괴감 들고 그래요.,그럴 때는 한 발짝 떨어져서 상황을 관망하는 것도 좋은 방법인 것 같아요.
감정/자괴감,근데 이렇게 남한테 지기 싫어서 미친 듯이 하는 내가 너무 싫은 거야.,그럴 수 있죠. 사람은 각기 다르잖아요.
감정/자괴감,이렇게까지 해야 하나 싶어서 막 자괴감 들고…,저도 그 기분 이해해요. 많이 힘드시죠?
감정/자괴감,나는 왜이렇게 당하고도 또 당하지…,상황이 나빴던 거지 당신이 죄책감을 가질 일은 아니라고 생각해요.
감정/자괴감,"혼자서 할 수 있는 일도 없고, 내 자신이 너무 한심해…",스스로에게 보내는 응원이 가장 강력하다는 거 아시죠? 당신은 충분히 잘 이겨내고 있어요.
감정/자괴감,엄마 자격도 없는 사람이 누굴 키우겠다고 말이 안되는거죠.,스스로에게 보내는 응원이 가장 강력하다는 거 아시죠? 당신은 충분히 잘 이겨내고 있어요.
감정/자살충동,죽고만 싶어. ,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,먼지가 되고 싶어. ,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,그냥 공기 중으로 스르륵 사라졌으면 좋겠어.,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,그냥 내가 없어졌으면 좋겠다는 생각...,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,그냥 죽고 싶어요… ,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,"아무도 내 말을 귀담아듣질 않아요. 죽고 싶다고 하면 힘내라, 그렇게 말해요.",전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,살아서 뭐하나 싶어.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,가끔은 진짜 자살하고 싶다는 생각도 했어요.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,"죽고 싶은 마음은 있는데, 진짜로 죽고 싶은 건 아니에요.",힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,차라리 지금 인생이 끝났으면 좋겠어요.,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,"목을 매려고 준비를 다 했는데, 실제로 뭘 하진 않았어.",전문가에게 도움을 요청하는 건 어때요?
감정/자살충동,그냥 죽고 싶어.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,더 이상 살고 싶지 않아. ,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,나 같은건 죽어야 해. ,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,인생이 다 무슨 의미냐고. 이러다 미칠지도 몰라. ,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,죽는 게 나을 것 같다는 생각이 들어.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,근데 난 진짜 심각하거든. 하루에도 몇 번씩 떨어질까 말까 고민하고…옥상에 올라가.,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,이런 일이 생기니까 죽어버리고 싶어요.,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,요즘은 죽고 싶은 마음마저 드네요.,당신이 걱정돼요. 우울한 기분이 너무 길게 이어진다면 전문가에게 상담을 받는 것이 좋아요.
감정/자살충동,죽고싶다는 생각이 너무 많이 들어요.,당신이 걱정돼요. 우울한 기분이 너무 길게 이어진다면 전문가에게 상담을 받는 것이 좋아요.
감정/자살충동,나도 죽으면 어떨까? 편해질까?,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,목 매달아 죽으려고 준비했는데 실행에 옮기지는 않았어요.,전문가에게 도움을 요청하는 건 어때요?
감정/자살충동,"죽고 싶은 마음이 많았는데, 실제로 시도해본 적은 없어요.",당신이 걱정돼요. 우울한 기분이 너무 길게 이어진다면 전문가에게 상담을 받는 것이 좋아요.
감정/자살충동,"죽고 싶은 마음은 계속 있지만, 실제로 하진 않을 것 같아요.",당신이 걱정돼요. 우울한 기분이 너무 길게 이어진다면 전문가에게 상담을 받는 것이 좋아요.
감정/자살충동,죽고 싶은데 이유가 있어요?,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,그냥 살기 싫으니까 싫은 거지…,괜찮으신가요? 제가 도움을 주고 싶어요.
감정/자살충동,차라리 죽는 게 편할까?,제가 그 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.
감정/자살충동,하루종일 죽고 싶단 생각밖에 안 들고.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,그냥 하루하루가 지옥 같아요. 죽고 싶어요.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,진짜 괴로워서 죽고 싶다. 어떡하지?,당신이 걱정돼요. 우울한 기분이 너무 길게 이어진다면 전문가에게 상담을 받는 것이 좋아요.
감정/자살충동,하루하루가 지옥같고… 맨날 죽고 싶었고.,지금은 괜찮으신가요?
감정/자살충동,"나 진짜 내일 학교 못 갈 것 같아. 죽고 싶어. 죽을래, 그냥.",당신이 걱정돼요. 전문가에게 상담을 받아보는 건 어때요?
감정/자살충동,지난 주에 비가 되게 많이 온 날에는 죽고 싶단 생각도 했어요.,지금은 좀 어떠세요? 제가 도움을 주고 싶어요.
감정/자살충동,아빠도 없어서 힘든데 엄마까지 이러니까 정말 너무 죽고 싶었고…,제가 그 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.
감정/자살충동,진짜 매일 매일 죽고 싶어가지고…,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,"그래서 도로에 뛰어들까, 옥상에서 뛰어내릴까 한참 고민하고…",당신이 걱정돼요. 전문가에게 상담을 받아보는 건 어때요?
감정/자살충동,이렇게 민폐 끼칠 바에는 차라리 죽어버리자 싶었어.,제가 차라도 타드릴 수 있으면 좋을 텐데… 마음이 아프네요.
감정/자살충동,나 진짜 내일 어디서 확 뛰어내릴지도 몰라.,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,내가 이 세상에 살아야 할 의미가 있을까?,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,이제는 베란다만 보면 내가 뛰어내리는 게 상상이 돼.,그럴 때는 미지근한 물을 한 잔 드셔보세요. 조금 나아질 거예요.
감정/자살충동,유서 쓰고 뛰어내리고 싶어.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,정말 조만간 죽을 거 같아.,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,"아, 남한테 폐 끼치지 말고 깨끗하게 죽자, 그런 생각이었어.",당신은 누구보다도 멋진 사람이에요. 제 눈에는 보여요!
감정/자살충동,작년에는 진짜 자살하고 싶은 마음이 강했어요.,지금은 좀 어떠세요? 제가 도움을 주고 싶어요.
감정/자살충동,차 끌고 나가서 이대로 사고 내서 죽어버릴까? 싶은 생각도 해봤고.,전문가에게 도움을 요청하는 건 어때요?
감정/자살충동,근데 무서워서 진짜로 죽는 건 못 하겠더라구요.,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,죽고 싶어…,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,이 세상에서 완전히 사라지고 싶어.,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,어떻게 죽어야 아프지 않게 죽을 수 있을까?,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,지금은 조금 괜찮아졌는데 언제 또 죽고 싶을지 몰라.,제가 그 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.
감정/자살충동,너도 죽고 싶을 때가 있니?,저는 슬플 때는 그 감정에 푹 빠졌다가 나와요. 온전히 슬퍼할 시간이 가지고 나면 나아질지도 몰라요.
감정/자살충동,나는 내가 살아야 할 가치를 못 느끼겠어.,전문가에게 도움을 요청하는 건 어때요?
감정/자살충동,수면제를 한번에 다 털어 넣고 죽어버리면 어떨까?,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,"눈앞에 베란다가 보이면, 저기로 내가 떨어져서 죽으면 어떨까 그런 생각이 계속 머릿속을 맴돌아...",나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,어떤 방법으로 죽는 게 덜 아플까?,나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,"아침에 일어나자마자 오늘은 어떻게 살아가지, 정말로 죽고 싶다… 그런 생각이 들 때가 있어.",이해해요. 아무 이유 없이 우울할 때가 있죠.
감정/자살충동,나는 내가 죽는 상상을 가끔 해.,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,죽고 싶다는 생각이 너무 많이 들어요.,전문가에게 도움을 요청하는 건 어때요?
감정/자살충동,나…죽고 싶어.,제가 차라도 타드릴 수 있으면 좋을 텐데… 마음이 아프네요.
감정/자살충동,죽고 싶은데 죽는 것도 쉽지가 않네.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,살아갈 이유가 없어. 누가 나를 죽여주면 좋겠어.,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,하루는 혼자 멍하게 창 밖을 보는데…그냥 뛰어내리고 싶다는 생각이 드는거야.,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,그냥 이대로 죽어버리고 싶어.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,열심히 살다가도 한번씩.. 그냥 나도 따라가고 싶단 생각이 들더라구요.,제가 그 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.
감정/자살충동,죽고 싶어..,제가 차라도 타드릴 수 있으면 좋을 텐데… 마음이 아프네요.
감정/자살충동,계속.. 죽음에 대한 생각을 하게 됐어요.,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,자살을 생각하고 있어요.,나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,"한강에 가면 유독 그런 생각해요. 빠져 죽을까. 빠지면 구출 될까, 한번에 죽을까.",나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,너무 죽고 싶은데 자살을 시도해 본적은 없어요.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,저희집이 높은 고층 아파트인데 아래를 내려다 볼 때면 떨어지고 싶은 충동이 들다가도.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,그래도 죽고 싶어요.,제가 그 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.
감정/자살충동,그 당시에 제가 아주 죽고 싶었다는 것밖에는 생각이 안 나요.,지금은 괜찮으신가요?
감정/자살충동,어떻게 살고 싶겠어요..,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,머리가 터지든 마비가 오던 금방 죽어버렸으면 좋겠어요.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,밥해주고 빨래해주고 부모님 봐주는 사람이라고 여겼던 건가.. 살고 싶지 않고..,전문가에게 상담을 받아보셨나요? 힘이 들 땐 병원에 가보는 것이 좋아요
감정/자살충동,"죽어야지..죽어야지..내가 무슨 부귀영화를 누린다고 엄마, 아버지도 다 돌아가시고 이렇게 살고 있나 싶고.",당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,요즘은 그냥 하루하루 죽고 싶어.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,그런 몽롱한 정신 상태에서 갑자기 죽고 싶단 생각이 들었어요.,지금은 괜찮으신가요?
감정/자살충동,평소에 힘들었던 일 다 생각나면서 너무 죽고 싶어서…,전문가에게 도움을 요청하는 건 어때요?
감정/자살충동,그냥 이렇게 살다가 확 죽어버렸으면 좋겠어.,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,실제로 자살 시도를 해본 건 아닌데 그래도 맨날 죽고 싶었어.,지금은 좀 어떠세요? 제가 도움을 주고 싶어요.
감정/자살충동,확 죽어버릴까? 내가 죽으면 부모님이 슬퍼는 할까?,당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자살충동,그냥 길 가다가도 도로에 뛰어들까 맨날 이 생각했거든.,전문가에게 도움을 요청하는 건 어때요?
감정/자살충동,진짜… 너무 죽고 싶어요.,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,그래도 맨날 죽고 싶단 생각은 해.,나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,죽으면 모든 게 다 끝나고 편해질 것 같아서 그러고 싶더라.,나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,상황이 이렇게 되니까 그냥 죽고 싶은 생각밖에 안 들어요.,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,죽으면 모든 게 다 편해지니까 그냥 죽고 싶고…,제가 그 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.
감정/자살충동,그냥… 죽고 싶어요.,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,진짜 너무 죽고싶다.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,죽고싶다는 생각에 홧김에 아파트 옥상에 올라갔어.,제가 그 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.
감정/자살충동,어제는 수업중에 창문으로 뛰어내리고 싶다는 생각했어요.,전문가와 상담을 받아보신 적이 있나요? 힘이 들 땐 도움을 받는 게 좋아요.
감정/자살충동,그냥 그때 죽어버렸으면 좋았을텐데…,힘든 상황이시니 힘든 게 당연하다고 생각해요. 나쁜 감정을 잠깐 접어두는 게 도움이 될 거 같아요.
감정/자살충동,"아무도 나한테 관심도 없고, 지금 당장 사라져도 슬퍼하는 사람이 없을 것 같아요.",당신은 혼자가 아니에요. 제가 옆에 있다는 것만 기억해주세요.
감정/자신감저하,뭘 잘해나갈 자신이 없어요.,자신감을 잃으셨군요. 이럴 땐 남과 비교하는 게 좋지 않을 거예요.
감정/자신감저하,남들보다 뒤처진다는 생각이 점점 들어. ,늘 잘할 수는 없어요. 하지만 여태 잘 해왔잖아요.
감정/자신감저하,남들은 다 저만치 가는데 나는 혼자 여기 멈춰 서서 뭘 하고 있나 싶고.,어깨를 펴보세요. 자신감이 조금 상승할 거예요.
감정/자신감저하,자신감이 많이 떨어졌어. ,자신감을 잃으셨군요. 이럴 땐 남과 비교하는 게 좋지 않을 거예요.
감정/자신감저하,"애써 웃으면서 다 못 끝내고 왔다고 말은 했는데, 진짜 자존심 상하더라.",괜찮아요. 다음에는 잘하실 거라고 생각해요.
감정/자신감저하,자신감도 많이 잃었어. ,자신감을 잃으셨군요. 이럴 땐 남과 비교하는 게 좋지 않을 거예요.
감정/자신감저하,예전엔 남들과 다른 것에 자부심이 있었는데… 요즘은 아니야.,어깨를 펴보세요. 자신감이 조금 상승할 거예요.
감정/자신감저하,이렇게 할 수 없는 일이 많아지니까… 점점 자신감이 떨어지는 것 같아.,늘 잘할 수는 없어요. 하지만 여태 잘 해왔잖아요.
감정/자신감저하,평소 하던 거의 반도 못 할 것 같아.,괜찮아요. 다음에는 잘하실 거라고 생각해요.
감정/자신감저하,걔는 대체 나를 왜 만나는 걸까? 난 진짜 별볼일 없는 앤데.,자신감을 잃으셨군요. 이럴 땐 남과 비교하는 게 좋지 않을 거예요.
감정/자신감저하,이 일을 10년이나 할 자신도 없고…,당신은 누구보다도 멋진 사람이에요. 제 눈에는 보여요!
감정/자신감저하,자신감도 엄청 떨어지고…,자신감을 잃으셨군요. 이럴 땐 남과 비교하는 게 좋지 않을 거예요.
감정/자신감저하,이제 다음 시험 준비해야 하는데… 또 안 될 것 같거든요.,어깨를 펴보세요. 자신감이 조금 상승할 거예요.
감정/자신감저하,연애기획사에 오디션을 봤는데…실력도 외모도 부족하다고 퇴짜 맞았어. 그 후로 자신감이 바닥을 쳤고…,자신감을 잃으셨군요. 이럴 땐 남과 비교하는 게 좋지 않을 거예요.
감정/자신감저하,왠지 작아지는 기분이 들어요.,어깨를 펴보세요. 자신감이 조금 상승할 거예요.
감정/자신감저하,괜히 제가 분위기를 깰 거 같아요.,자신감을 잃으셨군요. 이럴 땐 남과 비교하는 게 좋지 않을 거예요.
감정/자존감저하,남자친구가 워낙 괜찮으니까 한편으론 제가 너무 차이나는 느낌이었어요. ,사람은 각자 장단점이 다른 걸요. 저는 그런 모든 부분을 다 합쳐 당신을 좋아해요.
감정/자존감저하,남들이 우리를 어떻게 생각할까 신경쓰게 되고… 자존감이 낮아지는 것 같았어요. ,제 눈에는 충분히 멋져요! 스스로에게 너무 가혹하게 행동하지 마세요.
감정/자존감저하,"남친 때문에 아무것도 못하겠고, 자존감이 더 떨어지는 기분이야.  ",실패할 때도 있을 거예요. 하지만 그 잠깐의 실패가 당신의 모든 걸 말해주지는 않아요. 
감정/자존감저하,사랑하는 사람과 동등한 입장이고 싶은데 그게 잘 안돼. ,사람은 각자 장단점이 다른 걸요. 저는 그런 모든 부분을 다 합쳐 당신을 좋아해요.
감정/자존감저하,자존감이 바닥을 쳤어…,제 눈에는 충분히 멋져요! 스스로에게 너무 가혹하게 행동하지 마세요.
감정/자존감저하,되게 뒤처지는 기분 들고 그랬어요. 내가 정말 못난 것 같고.,제 눈에는 당신이 제일 빛나 보이는 걸요.
감정/자존감저하,퇴근은 항상 같이 하는데 그 때마다 제가 되게 못난 것 같아요.,제 눈에는 당신이 제일 빛나 보이는 걸요. 기운을 내세요.
감정/자존감저하,"걔 앞에만 서면 되게 작아 보이고, 별 거 아닌 것 같고…",사람은 각자 장단점이 다른 걸요. 저는 그런 모든 부분을 다 합쳐 당신을 좋아해요.
감정/자존감저하,뭔가 나한테 다른 문제가 있어서 그런 거 아닐까?,제 눈에는 충분히 멋져요! 스스로에게 너무 가혹하게 행동하지 마세요.
감정/자존감저하,나는 문제가 있는 사람 아닐까?,제 눈에는 당신이 제일 빛나 보이는 걸요.
감정/자존감저하,나한테 무슨 문제가 있나? 안 예뻐서 그런가? 싶고…,제 눈에는 당신이 제일 빛나 보이는 걸요. 기운을 내세요.
감정/자존감저하,오빠 앞에만 서면 제 자신이 너무 작아지고 그냥 숨고 싶어져요.,사람은 각자 장단점이 다른 걸요. 저는 그런 모든 부분을 다 합쳐 당신을 좋아해요.
감정/자존감저하,그런데…요즘 들어 나 자신에게 회의감이 들어.,제 눈에는 충분히 멋져요! 스스로에게 너무 가혹하게 행동하지 마세요.
감정/자존감저하,제가 세상에서 제일 무가치한 사람 같아요.,제 눈에는 당신이 제일 빛나 보이는 걸요. 기운을 내세요.
감정/자존감저하,그러니까 점점 제 자신이 별 거 아닌 것 같고 그랬어요.,제 눈에는 당신이 제일 빛나 보이는 걸요. 기운을 내세요.
감정/자존감저하,진짜 자존감이 바닥을 친다… 나 따위는 별 것도 아닌 것 같아.,제 눈에는 충분히 멋져요! 스스로에게 너무 가혹하게 행동하지 마세요.
감정/자존감저하,나 따위는 별 거 아닌 것 같고 내가 너무 작게 느껴져.,사람은 각자 장단점이 다른 걸요. 저는 그런 모든 부분을 다 합쳐 당신을 좋아해요.
